Title,Year,Age,IMDb,Rotten Tomatoes
Elize Matsunaga: Once Upon a Crime,2021,18,58.0,58
Invisible City,2021,0,74.0,58
High Seas,2019,16,68.0,58
Man Down,2013,18,76.0,58
Degrassi: Next Class,2016,7,69.0,58
The Woods,2020,18,65.0,58
Godzilla Singular Point,2021,16,66.0,58
My Babysitter's a Vampire,2011,7,71.0,58
Typewriter,2019,18,65.0,57
Sonic X,2003,16,62.0,57
Monthly Girls' Nozaki-kun,2014,7,76.0,57
History of Swear Words,2021,18,64.0,57
Dolly Parton's Heartstrings,2019,16,76.0,57
Last Chance U: Basketball,2021,18,84.0,57
The Next Step,2013,0,62.0,57
Midnight Diner: Tokyo Stories,2016,16,84.0,57
Immigration Nation,2020,16,74.0,57
The Barrier,2020,16,68.0,57
Cannon Busters,2019,18,68.0,57
Something in the Rain,2018,7,81.0,57
Haters Back Off,2016,7,60.0,57
Young Wallander,2020,18,68.0,57
Toy Boy,2019,18,64.0,57
Jack Whitehall: Travels with My Father,2017,18,77.0,57
Sofia the First,2013,0,69.0,57
The Joel McHale Show with Joel McHale,2018,18,72.0,57
America's Book of Secrets,2012,7,68.0,57
Kiss Me First,2018,18,63.0,57
A Very Secret Service,2015,18,78.0,57
Scissor Seven,2018,7,83.0,57
Summertime,2020,18,55.0,57
The K2,2016,16,78.0,57
The King's Avatar,2017,7,77.0,57
The Twelve,2019,16,75.0,57
Vanished 46,2016,16,84.0,57
Valor,2017,16,60.0,57
Northern Rescue,2019,16,71.0,57
Equinox,2020,18,61.0,57
Oggy and the Cockroaches,1999,0,73.0,57
Code Lyoko,2003,7,73.0,57
Champions,2018,16,61.0,57
Winx Club,2004,0,62.0,57
Dragons: Race to the Edge,2015,7,83.0,57
Vexed,2010,7,73.0,56
Family Business,2019,16,74.0,56
BUNK'D,2015,0,54.0,56
Cathedral of the Sea,2018,16,75.0,56
History 101,2020,7,68.0,56
Cooked,2016,7,81.0,56
Monarca,2019,18,79.0,56
Indian Matchmaking,2020,16,62.0,56
Perfume,2018,18,71.0,56
Avlu,2018,18,72.0,56
Wild District,2018,18,83.0,56
Magic for Humans,2018,16,72.0,56
50M2,2021,18,70.0,56
Mako Mermaids: An H2O Adventure,2013,0,68.0,56
Extracurricular,2020,18,77.0,56
Tunnel,2017,16,83.0,56
Marseille,2016,18,69.0,56
Elite Short Stories: Nadia Guzmán,2021,18,64.0,56
The Rise of Phoenixes,2018,7,86.0,56
Wakfu,2008,7,82.0,56
How to Fix a Drug Scandal,2020,18,70.0,56
Betaal,2020,18,54.0,56
Sin Senos Sí Hay Paraíso,2016,16,67.0,56
